"","country","year","ifhpol","regimeny","totdurny2"
"1","Afghanistan",1972,2.83333325386047,"no-party monarchy",8
"2","Afghanistan",1973,1.16666662693024,"military trad",5
"3","Afghanistan",1974,1.16666662693024,"military trad",5
"4","Afghanistan",1975,1.16666662693024,"military trad",5
"5","Afghanistan",1976,1.16666662693024,"military trad",5
"6","Afghanistan",1977,1.58333325386047,"military trad",5
"7","Afghanistan",1978,2.5,"civil war",1
"8","Afghanistan",1979,0.264271467924118,"occupation",11
"9","Afghanistan",1980,0.264271467924118,"occupation",11
"10","Afghanistan",1981,0.264271467924118,"occupation",11
"11","Afghanistan",1982,0.264271467924118,"occupation",11
"12","Afghanistan",1983,0.264271467924118,"occupation",11
"13","Afghanistan",1984,0.264271467924118,"occupation",11
"14","Afghanistan",1985,0.264271467924118,"occupation",11
"15","Afghanistan",1986,0.264271467924118,"occupation",11
"16","Afghanistan",1987,0.264271467924118,"occupation",11
"17","Afghanistan",1988,1.92867958545685,"occupation",11
"18","Afghanistan",1989,0.5,"occupation",11
"19","Afghanistan",1990,0.5,"civil war",6
"20","Afghanistan",1991,0.5,"civil war",6
"21","Afghanistan",1992,3.33333325386047,"civil war",6
"22","Afghanistan",1993,2.5,"civil war",6
"23","Afghanistan",1994,2.5,"civil war",6
"24","Afghanistan",1995,2.5,"civil war",6
"25","Afghanistan",1996,0.75,"theocracy",5
"26","Afghanistan",1997,0.75,"theocracy",5
"27","Afghanistan",1998,0.75,"theocracy",5
"28","Afghanistan",1999,0.75,"theocracy",5
"29","Afghanistan",2000,0.75,"theocracy",5
"30","Afghanistan",2001,0.264271467924118,"occupation",3
"31","Afghanistan",2002,1.92867958545685,"occupation",3
"32","Afghanistan",2003,1.92867958545685,"occupation",3
"33","Afghanistan",2004,2.76088380813599,"limited multiparty",11
"34","Afghanistan",2005,3.59308791160583,"limited multiparty",11
"35","Afghanistan",2006,3.59308791160583,"limited multiparty",11
"36","Afghanistan",2007,3.59308791160583,"limited multiparty",11
"37","Afghanistan",2008,2.76088380813599,"limited multiparty",11
"38","Afghanistan",2009,1.92867958545685,"limited multiparty",11
"39","Afghanistan",2010,1.92867958545685,"limited multiparty",11
"40","Afghanistan",2011,2.01888084411621,"limited multiparty",11
"41","Afghanistan",2012,2.01888084411621,"limited multiparty",11
"42","Afghanistan",2013,2.01888084411621,"limited multiparty",11
"43","Afghanistan",2014,3.08333325386047,"limited multiparty",11
"44","Albania",1972,0.25,"one-party",31
"45","Albania",1973,0.25,"one-party",31
"46","Albania",1974,0.25,"one-party",31
"47","Albania",1975,0.25,"one-party",31
"48","Albania",1976,0.25,"one-party",31
"49","Albania",1977,0.25,"one-party",31
"50","Albania",1978,0.25,"one-party",31
"51","Albania",1979,0.25,"one-party",31
"52","Albania",1980,0.25,"one-party",31
"53","Albania",1981,0.25,"one-party",31
"54","Albania",1982,0.25,"one-party",31
"55","Albania",1983,0.25,"one-party",31
"56","Albania",1984,0.25,"one-party",31
"57","Albania",1985,0.25,"one-party",31
"58","Albania",1986,0.25,"one-party",31
"59","Albania",1987,0.25,"one-party",31
"60","Albania",1988,0.25,"one-party",31
"61","Albania",1989,0.25,"one-party",31
"62","Albania",1990,3.16666674613953,"one-party",31
"63","Albania",1991,5.25,"limited multiparty",2
"64","Albania",1992,6.66666650772095,"limited multiparty",2
"65","Albania",1993,7.08333301544189,"democracy",1
"66","Albania",1994,6.66666650772095,"limited multiparty",8
"67","Albania",1995,6.66666650772095,"limited multiparty",8
"68","Albania",1996,5,"limited multiparty",8
"69","Albania",1997,6.25,"limited multiparty",8
"70","Albania",1998,5.83333301544189,"limited multiparty",8
"71","Albania",1999,5.83333301544189,"limited multiparty",8
"72","Albania",2000,5.83333301544189,"limited multiparty",8
"73","Albania",2001,6.66666650772095,"limited multiparty",8
"74","Albania",2002,7.58333301544189,"democracy",13
"75","Albania",2003,7.58333301544189,"democracy",13
"76","Albania",2004,7.58333301544189,"democracy",13
"77","Albania",2005,8.08333301544189,"democracy",13
"78","Albania",2006,8.08333301544189,"democracy",13
"79","Albania",2007,8.08333301544189,"democracy",13
"80","Albania",2008,8.08333301544189,"democracy",13
"81","Albania",2009,8.08333301544189,"democracy",13
"82","Albania",2010,8.08333301544189,"democracy",13
"83","Albania",2011,8.08333301544189,"democracy",13
"84","Albania",2012,8.08333301544189,"democracy",13
"85","Albania",2013,8.08333301544189,"democracy",13
"86","Albania",2014,8.08333301544189,"democracy",13
"87","Algeria",1972,1.08333325386047,"military trad",15
"88","Algeria",1973,1.08333325386047,"military trad",15
"89","Algeria",1974,1.08333325386047,"military trad",15
"90","Algeria",1975,0.666666626930237,"military trad",15
"91","Algeria",1976,1.08333325386047,"military trad",15
"92","Algeria",1977,1.08333325386047,"military one-party",15
"93","Algeria",1978,1.08333325386047,"military one-party",15
"94","Algeria",1979,1.08333325386047,"military one-party",15
"95","Algeria",1980,1.08333325386047,"military one-party",15
"96","Algeria",1981,1.08333325386047,"military one-party",15
"97","Algeria",1982,1.08333325386047,"military one-party",15
"98","Algeria",1983,1.08333325386047,"military one-party",15
"99","Algeria",1984,1.08333325386047,"military one-party",15
"100","Algeria",1985,1.08333325386047,"military one-party",15
"101","Algeria",1986,1.08333325386047,"military one-party",15
"102","Algeria",1987,1.08333325386047,"military one-party",15
"103","Algeria",1988,1.5,"military one-party",15
"104","Algeria",1989,3.66666650772095,"military one-party",15
"105","Algeria",1990,4.5,"military one-party",15
"106","Algeria",1991,4.5,"military one-party",15
"107","Algeria",1992,1.16666662693024,"military trad",5
"108","Algeria",1993,1.16666662693024,"military trad",5
"109","Algeria",1994,0.75,"military trad",5
"110","Algeria",1995,2.58333325386047,"military trad",5
"111","Algeria",1996,2.58333325386047,"military trad",5
"112","Algeria",1997,2.58333325386047,"military multiparty",12
"113","Algeria",1998,3,"military multiparty",12
"114","Algeria",1999,3,"military multiparty",12
"115","Algeria",2000,3,"military multiparty",12
"116","Algeria",2001,3,"military multiparty",12
"117","Algeria",2002,3,"military multiparty",12
"118","Algeria",2003,3,"military multiparty",12
"119","Algeria",2004,4.25,"military multiparty",12
"120","Algeria",2005,4.25,"military multiparty",12
"121","Algeria",2006,4.25,"military multiparty",12
"122","Algeria",2007,4.25,"military multiparty",12
"123","Algeria",2008,4.25,"military multiparty",12
"124","Algeria",2009,4.25,"limited multiparty",6
"125","Algeria",2010,4.25,"limited multiparty",6
"126","Algeria",2011,4.25,"limited multiparty",6
"127","Algeria",2012,4.25,"limited multiparty",6
"128","Algeria",2013,4.25,"limited multiparty",6
"129","Algeria",2014,4.25,"limited multiparty",6
"130","Angola",1975,1.58333325386047,"rebel regime",5
"131","Angola",1976,1.58333325386047,"rebel regime",5
"132","Angola",1977,0.75,"rebel regime",5
"133","Angola",1978,0.75,"rebel regime",5
"134","Angola",1979,0.75,"rebel regime",5
"135","Angola",1980,0.75,"one-party",12
"136","Angola",1981,0.75,"one-party",12
"137","Angola",1982,0.75,"one-party",12
"138","Angola",1983,0.75,"one-party",12
"139","Angola",1984,0.75,"one-party",12
"140","Angola",1985,0.75,"one-party",12
"141","Angola",1986,0.75,"one-party",12
"142","Angola",1987,0.75,"one-party",12
"143","Angola",1988,0.75,"one-party",12
"144","Angola",1989,0.75,"one-party",12
"145","Angola",1990,0.75,"one-party",12
"146","Angola",1991,3.41666650772095,"one-party",12
"147","Angola",1992,3.33333325386047,"civil war",3
"148","Angola",1993,2.25,"civil war",3
"149","Angola",1994,2.25,"civil war",3
"150","Angola",1995,2.83333325386047,"limited multiparty",3
"151","Angola",1996,2.83333325386047,"limited multiparty",3
"152","Angola",1997,2.58333325386047,"limited multiparty",3
"153","Angola",1998,2.58333325386047,"civil war",5
"154","Angola",1999,2.58333325386047,"civil war",5
"155","Angola",2000,2.58333325386047,"civil war",5
"156","Angola",2001,2.58333325386047,"civil war",5
"157","Angola",2002,3.25,"civil war",5
"158","Angola",2003,3.25,"other",5
"159","Angola",2004,3.25,"other",5
"160","Angola",2005,3.25,"other",5
"161","Angola",2006,3.25,"other",5
"162","Angola",2007,3.25,"other",5
"163","Angola",2008,3.25,"limited multiparty",7
"164","Angola",2009,3.25,"limited multiparty",7
"165","Angola",2010,3.25,"limited multiparty",7
"166","Angola",2011,3.25,"limited multiparty",7
"167","Angola",2012,3.25,"limited multiparty",7
"168","Angola",2013,3.25,"limited multiparty",7
"169","Angola",2014,3.25,"limited multiparty",7
"170","Antigua and Barbuda",1972,NA,NA,NA
"171","Antigua and Barbuda",1973,NA,NA,NA
"172","Antigua and Barbuda",1974,NA,NA,NA
"173","Antigua and Barbuda",1975,NA,NA,NA
"174","Antigua and Barbuda",1976,NA,NA,NA
"175","Antigua and Barbuda",1977,NA,NA,NA
"176","Antigua and Barbuda",1978,NA,NA,NA
"177","Antigua and Barbuda",1979,NA,NA,NA
"178","Antigua and Barbuda",1980,NA,NA,NA
"179","Antigua and Barbuda",1981,7.75410842895508,"democracy",10
"180","Antigua and Barbuda",1982,7.75410842895508,"democracy",10
"181","Antigua and Barbuda",1983,7.75410842895508,"democracy",10
"182","Antigua and Barbuda",1984,7.75410842895508,"democracy",10
"183","Antigua and Barbuda",1985,7.75410842895508,"democracy",10
"184","Antigua and Barbuda",1986,7.75410842895508,"democracy",10
"185","Antigua and Barbuda",1987,7.75410842895508,"democracy",10
"186","Antigua and Barbuda",1988,7.75410842895508,"democracy",10
"187","Antigua and Barbuda",1989,7.75410842895508,"democracy",10
"188","Antigua and Barbuda",1990,7.75410842895508,"democracy",10
"189","Antigua and Barbuda",1991,6.92190408706665,"limited multiparty",13
"190","Antigua and Barbuda",1992,6.92190408706665,"limited multiparty",13
"191","Antigua and Barbuda",1993,6.08969974517822,"limited multiparty",13
"192","Antigua and Barbuda",1994,6.08969974517822,"limited multiparty",13
"193","Antigua and Barbuda",1995,6.08969974517822,"limited multiparty",13
"194","Antigua and Barbuda",1996,6.08969974517822,"limited multiparty",13
"195","Antigua and Barbuda",1997,6.08969974517822,"limited multiparty",13
"196","Antigua and Barbuda",1998,6.08969974517822,"limited multiparty",13
"197","Antigua and Barbuda",1999,6.08969974517822,"limited multiparty",13
"198","Antigua and Barbuda",2000,6.92190408706665,"limited multiparty",13
"199","Antigua and Barbuda",2001,6.92190408706665,"limited multiparty",13
"200","Antigua and Barbuda",2002,6.92190408706665,"limited multiparty",13
"201","Antigua and Barbuda",2003,6.92190408706665,"limited multiparty",13
"202","Antigua and Barbuda",2004,8.58631229400635,"democracy",11
"203","Antigua and Barbuda",2005,8.58631229400635,"democracy",11
"204","Antigua and Barbuda",2006,8.58631229400635,"democracy",11
"205","Antigua and Barbuda",2007,8.58631229400635,"democracy",11
"206","Antigua and Barbuda",2008,8.58631229400635,"democracy",11
"207","Antigua and Barbuda",2009,7.75410842895508,"democracy",11
"208","Antigua and Barbuda",2010,7.75410842895508,"democracy",11
"209","Antigua and Barbuda",2011,7.7658052444458,"democracy",11
"210","Antigua and Barbuda",2012,8.58679389953613,"democracy",11
"211","Antigua and Barbuda",2013,8.58679389953613,"democracy",11
"212","Antigua and Barbuda",2014,8.58679389953613,"democracy",11
"213","Argentina",1972,2.33333325386047,"military trad",7
"214","Argentina",1973,8.16666603088379,"democracy",3
"215","Argentina",1974,7.33333301544189,"democracy",3
"216","Argentina",1975,7.33333301544189,"democracy",3
"217","Argentina",1976,1.5,"military trad",7
"218","Argentina",1977,1.08333325386047,"military trad",7
"219","Argentina",1978,1.5,"military trad",7
"220","Argentina",1979,1.5,"military trad",7
"221","Argentina",1980,1.5,"military trad",7
"222","Argentina",1981,3.83333325386047,"military trad",7
"223","Argentina",1982,3.83333325386047,"military trad",7
"224","Argentina",1983,7.83333301544189,"democracy",32
"225","Argentina",1984,8.66666603088379,"democracy",32
"226","Argentina",1985,8.66666603088379,"democracy",32
"227","Argentina",1986,9.08333301544189,"democracy",32
"228","Argentina",1987,9.08333301544189,"democracy",32
"229","Argentina",1988,9.08333301544189,"democracy",32
"230","Argentina",1989,8.83333301544189,"democracy",32
"231","Argentina",1990,8.41666603088379,"democracy",32
"232","Argentina",1991,8.41666603088379,"democracy",32
"233","Argentina",1992,8,"democracy",32
"234","Argentina",1993,8,"democracy",32
"235","Argentina",1994,8,"democracy",32
"236","Argentina",1995,8,"democracy",32
"237","Argentina",1996,8,"democracy",32
"238","Argentina",1997,8,"democracy",32
"239","Argentina",1998,7.58333301544189,"democracy",32
"240","Argentina",1999,8.25,"democracy",32
"241","Argentina",2000,9.08333301544189,"democracy",32
"242","Argentina",2001,7.83333301544189,"democracy",32
"243","Argentina",2002,7.83333301544189,"democracy",32
"244","Argentina",2003,8.66666603088379,"democracy",32
"245","Argentina",2004,8.66666603088379,"democracy",32
"246","Argentina",2005,8.66666603088379,"democracy",32
"247","Argentina",2006,8.66666603088379,"democracy",32
"248","Argentina",2007,8.66666603088379,"democracy",32
"249","Argentina",2008,8.66666603088379,"democracy",32
"250","Argentina",2009,8.66666603088379,"democracy",32
"251","Argentina",2010,8.66666603088379,"democracy",32
"252","Argentina",2011,8.66666603088379,"democracy",32
"253","Argentina",2012,8.66666603088379,"democracy",32
"254","Argentina",2013,8.66666603088379,"democracy",32
"255","Argentina",2014,8.66666603088379,"democracy",32
"256","Armenia",1972,NA,NA,NA
"257","Armenia",1973,NA,NA,NA
"258","Armenia",1974,NA,NA,NA
"259","Armenia",1975,NA,NA,NA
"260","Armenia",1976,NA,NA,NA
"261","Armenia",1977,NA,NA,NA
"262","Armenia",1978,NA,NA,NA
"263","Armenia",1979,NA,NA,NA
"264","Armenia",1980,NA,NA,NA
"265","Armenia",1981,NA,NA,NA
"266","Armenia",1982,NA,NA,NA
"267","Armenia",1983,NA,NA,NA
"268","Armenia",1984,NA,NA,NA
"269","Armenia",1985,NA,NA,NA
"270","Armenia",1986,NA,NA,NA
"271","Armenia",1987,NA,NA,NA
"272","Armenia",1988,NA,NA,NA
"273","Armenia",1989,NA,NA,NA
"274","Armenia",1990,NA,NA,NA
"275","Armenia",1991,5.91666650772095,"limited multiparty",1
"276","Armenia",1992,7.16666650772095,"democracy",3
